02:36:34,962 [DATABASE_LOGGER] DEBUG 89 [DEBUG] STARTING

02:36:50,563 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583885400.0), '201.43', '201.68', '201.03', '201.22', '1925.26166');

02:36:50,693 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583885700.0), '201.11', '201.46', '200.71', '200.71', '998.98514');

02:36:50,815 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583886000.0), '200.71', '201.86', '200.64', '201.83', '1602.27306');

02:36:50,965 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583886300.0), '201.87', '202.15', '201.71', '201.79', '1609.4748');

02:36:51,115 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583886600.0), '201.78', '202.01', '201.6', '201.65', '2365.52105');

02:36:51,225 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583886900.0), '201.7', '201.81', '201.21', '201.74', '1390.26161');

02:36:51,345 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583887200.0), '201.72', '202.0', '201.44', '201.48', '1255.89732');

02:36:51,455 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583887500.0), '201.54', '201.77', '201.37', '201.67', '1265.78871');

02:36:51,585 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583887800.0), '201.61', '202.14', '201.43', '202.12', '1173.56245');

02:36:51,745 [DATABASE_LOGGER] DEBUG 89 [DEBUG] INSERT INTO ETHUSDT_OHLCV_5m(timestamp, open, high, low, close, volume) VALUES (to_timestamp(1583888100.0), '202.13', '202.56', '202.13', '202.2', '1456.04115');

